OBJECTID,NAZEV,POC_OBYV_2021,VZDEL_ZADNE,VZDEL_NEZJISTENO,VZDEL_ZAKLADNI,VZDEL_STREDNI,VZDEL_STR_S_MATUR,VZDEL_VOS,VZDEL_VYSOKOSK,Shape_Length,Shape_Area,BEZ_MATURITY
68,Tøebíè,107997,453,3526,12110,34447,27368,1215,12320,208414.135,1461256863,0.435289869
69,Trutnov,113530,605,5956,13745,35556,28144,1245,10697,175486.9505,1145446573,0.439584251
70,Uherské Hradištì,137280,728,5100,15546,41737,34532,1176,17531,158787.4459,990960238.4,0.422574301
71,Ústí nad Labem,115581,933,8265,14745,29306,29725,1072,12733,91210.06042,405262933.6,0.389198917
72,Ústí nad Orlicí,133348,787,5433,14845,39725,35194,1988,13426,229061.3866,1267531613,0.415131835
73,Vsetín,137540,606,5093,15111,40020,36633,1371,16982,157194.1872,1131187824,0.405242111
74,Vyškov,91578,312,3586,9703,26266,22692,1089,12071,158750.5022,868030216.3,0.396175937
75,Žïár nad Sázavou,114648,400,3613,11723,34917,29680,1765,13712,209177.6119,1577561715,0.410299351
76,Zlín,187371,646,7245,20348,51624,48955,2063,27636,167259.1806,1045445256,0.387562643
77,Znojmo,112409,807,4951,14871,36209,25718,1151,10555,209094.8084,1588137118,0.461591154
